time,Disk Bytes/sec,Disk Read Bytes/sec,Disk Write Bytes/sec,Bytes Received/sec,Bytes Sent/sec,Packets Received/sec,Packets Sent/sec,Process V2(_Total)\% Processor Time,Process V2(_Total)\IO Data Bytes/sec,Process V2(_Total)\IO Data Operations/sec,Process V2(_Total)\Page Faults/sec,Process V2(_Total)\Pool Nonpaged Bytes,Process V2(_Total)\Pool Paged Bytes,Processor Information(_Total)\% Processor Time,Sessions Timed Out,Context Switches/sec,Exception Dispatches/sec,File Control Bytes/sec,File Control Operations/sec,File Data Operations/sec,File Read Bytes/sec,File Read Operations/sec,File Write Bytes/sec,File Write Operations/sec
54:10.2,195110.8365,195110.8365,0,423.748409,70.45933732,6.946695229,0.992385033,804.9059209,9018332.57,2374.329627,24027.77816,7676096,96738648,4.825318385,0,11553.34655,0,20132.51516,365.197692,2369.815458,8299856.878,1878.584867,697796.5281,491.2305912
54:11.2,3595.095543,0,3595.095543,1596.928601,0,14.04334197,0,791.9459753,1983050.972,1450.118774,2538.962283,7676064,96737736,2.967012894,0,7271.441851,0,13956.07263,152.4705699,1448.470414,1626030.418,1108.420919,355899.4124,340.0494948
54:12.2,2937072.559,1592401.019,1344671.539,6216.334205,1900.541639,35.84049189,14.93353829,811.682358,23828712.37,4604.749303,53209.87808,7728808,97681464,8.744611685,0,16284.52572,71.68098378,93503.86107,2626.3116,4722.980376,21488426.76,2626.3116,2567237.509,2096.668776
54:13.2,869354.5397,356763.4196,512591.1201,1959.259418,54.0623447,17.01962703,1.001154531,793.1985032,3074008.226,1448.984043,9205.368809,7737328,97820184,2.596460637,0,9184.591671,11.01269985,34164.39838,809.9340159,1298.497427,1416419.415,803.9270887,1230154.614,494.5703385
54:14.2,123206.559,0,123206.559,1742.618811,0,17.04517824,0,787.7536661,838872.4936,104.266547, ,7712088,97459528,0.943505251,0,2701.159423,35.09301403,64534.04749,1174.111984,125.332193,382685.3074,60.15945263,472546.4845,65.17274035
54:15.2,338854.017,0,338854.017,2127.724615,196.7312944,21.18644709,2.017756866,804.4287827,1085043.679,266.3828466,3214.688089,7711272,97430592,3.374277082,0,5575.06222,0,24076.8838,294.5925024,350.0808162,445900.0542,200.7668081,674821.6328,149.3140081
54:16.2,156416.3843,12267.95171,144148.4326,2159.470993,0,12.97879006,0,800.6050973,4107827.932,967.9635109,8246.208276,7727224,97519808,3.247184222,0,16759.61144,10.98205313,37185.23189,826.6490901,883.5560926,2966273.516,574.0618681,1099373.404,309.4942245
54:17.2,30129958.15,7015475.733,23114482.42,2605.022388,0,20.7847531,0,803.4250738,44639330.89,23305.857,23916.17065,7722328,97496288,4.796450787,0,14458.27015,0,37843.09689,456.274818,23281.89272,22475942.14,7883.359925,22117488.29,15398.53279
54:18.2,189435.1231,189435.1231,0,618.3264728,0,9.048680089,0,786.9142116,991451.3539,456.3781409,2727.211225,7717208,97476528,2.813736319,0,9938.466965,0,57974.89333,967.2033606,456.4556401,511136.8138,227.2224111,480482.9019,229.2332289
54:19.2,368144.9395,40848.25959,327296.6799,1682.397801,0,10.96999159,0,796.643141,3379913.79,302.2934194,4198.187157,7715256,97454824,4.901699412,0,9619.685351,15.9563514,33481.4116,632.2704243,303.1706766,2767799.684,154.5771542,610839.0498,148.5935224
54:20.2,919207.183,751046.9464,168160.2366,2848.141469,0,20.14956823,0,804.1473482,1094190.674,818.8391419,5101.377926,7715256,97469920,5.186154289,0,13216.1018,0,24706.39309,242.8022972,819.0799486,561810.2614,390.9016237,532702.1951,428.1783249
54:21.2,551581.99,32445.99941,519135.9906,3213.11243,270.3173169,20.79363976,3.960693288,801.5913079,1364114.972,479.3732334,4706.573564,7712712,97464160,6.377849171,0,9178.906694,0,17419.12908,178.2311979,479.2438878,443071.8662,227.739864,920675.0368,251.5040238
54:22.2,1260178.697,790700.3587,469478.338,2422.074844,71.38535241,17.09226748,1.005427499,791.8103782,1652594.679,641.3950967, ,7692328,96830936,3.773039294,0,3512.963681,40.21709995,37344.59359,496.6811844,1013.470919,1234585.54,587.1696593,574763.6893,426.3012595
54:23.2,15303245.19,218250.1164,15084995.07,16276.66838,13160.07344,55.29442623,39.20877496,796.7802628,33192411.35,31966.60237,17062.51768,7698816,96833960,9.190487251,0,11142.32956,71.3800775,46260.32234,1176.263249,32410.5766,18564431.03,11014.64971,15164800.01,21395.92689
54:24.2,8676242.504,187770.9505,8488471.554,4270.330135,899.9085442,23.91783506,9.965764609,798.4191364,16662216.87,16572.22592,6109.557937,7701808,96837704,3.51783909,0,9736.552023,0,78732.53014,1196.88833,16268.11415,8080821.952,5659.557721,8174818.048,10608.55643
54:25.2,459520.8868,69562.83038,389958.0564,4262.389441,1525.257087,26.77629477,12.89229007,804.2145877,3673398.319,2068.409624,14228.99238,7713248,96877464,5.477668879,0,11422.569,0,24720.47036,316.3569641,2065.741556,1669993.869,1012.540628,2006334.875,1053.200928
54:26.2,376851.0556,65987.59933,310863.4562,4931.751427,591.0449342,17.1171446,5.034454295,789.077428,1809154.013,784.7004341,3584.471342,7713232,96877456,1.758288344,0,7544.633206,0,35668.10179,509.4867746,783.3610883,877610.1002,434.9768511,930228.2028,348.3842372
54:27.2,532547.9194,16449.35658,516098.5628,1509.99953,881.5023853,14.05584669,3.011967148,800.9953168,2905535.503,1317.814895,4398.057004,7714048,96881504,3.982258354,0,9442.517009,0,15260.63355,150.5983574,1321.249589,1320418.286,713.836214,1592690.076,607.4133748
54:28.2,594567.8477,0,594567.8477,2092.686437,0,12.04423849,0,804.7224331,2002418.835,640.7177004,3184.477613,7712960,96881504,0.981419361,0,5087.687075,0,21507.99888,231.8515909,639.3483264,801879.3027,345.26817,1196259.862,294.0801564
54:29.2,-12.256,0,0,1688.810156,0,9.841551028,0,802.8357046,732592.6615,103.7484718,2519.605744,7713368,96881504,0.803468092,0,1320.736148,0,15576.22281,150.5757307,103.3362858,374919.7914,52.16022045,354762.3265,51.17606535
54:30.2,225797.5546,0,225797.5546,431.0106029,0,6.000147604,0,799.3067612,2056774.852,399.7074941,5708.822284,7703848,96849968,2.233233117,0,6448.158625,0,59116.45426,992.0244038,400.0098402,974384.9699,235.0057811,1083945.665,165.0040591
54:31.2,87420.25187,0,87420.25187,3265.202652,0,9.039318323,0,803.9035951,744959.8432,105.4998901,2775.149491,7703304,96849840,0.29711272,0,1398.081234,0,17790.38283,201.8781092,105.4587138,382620.2834,53.23154123,362048.8037,52.22717253
54:32.2,472087.0459,16456.19332,455630.8526,2663.685589,124.546385,9.039656975,1.004406331,786.7232903,1202581.132,454.3821852,3229.824804,7698592,96846792,4.402149977,0,12482.76188,0,26939.18219,291.2778359,454.9960677,492619.1201,224.987018,711586.731,230.0090497
54:33.2,536816.7773,84760.54378,452056.2335,1447.559045,53.21183691,8.868639486,0.985404387,804.0259683,1571601.911,738.1966706,2608.426842,7695736,96830368,1.62278664,0,9217.472639,0,17551.03754,415.8406514,735.1116729,600522.1855,350.8039619,964511.8435,384.307711
54:34.2,2581217.787,1899875.848,681341.9388,2526.79696,291.6703505,15.19116409,4.050977091,803.1326188,1522467.354,395.5855861,3185.7692,7695328,96833352,3.529968643,0,11583.76899,0,27353.21006,349.3967741,399.0212434,535037.863,199.5106217,1000652.106,199.5106217
54:35.2,281455.7385,0,281455.7385,504.4117909,285.9340292,8.054479695,4.027239848,794.1864944,1098931.025,492.8565532,5410.335333,7693968,96813648,3.090338487,0,9627.116856,0,15125.30606,160.0827839,492.3300714,531257.3717,240.6275809,567756.2465,251.7024905
54:36.2,332865.5253,73068.04214,259797.4832,3820.492926,2007.864765,20.81202372,6.93734124,805.5438869,1405930.992,531.7158062,3833.115439,7694544,96831064,5.697143457,0,15271.07017,0,26981.30218,424.1688644,531.2021292,564562.8122,260.6458209,838773.1173,270.5563084
54:37.2,440669.7297,0,440669.7297,2355.606388,0,15.02938997,0,772.6212963,1015083.321,277.3759233, ,7670712,96169776,2.637153722,0,13288.98661,26.05094262,21821.67228,312.6113114,883.7281304,560597.2479,551.0776323,680770.2462,332.650498
54:38.2,779424.2555,194223.8249,585200.4306,2266.181713,366.501053,14.81810187,1.975746916,802.5200215,2525689.69,1213.040541,13969.72259,7677056,96182112,6.629882112,0,15020.61593,0,52648.71595,909.831455,1213.108607,1094485.75,577.905973,1431345.659,635.2026336
54:39.2,177209.6048,0,177209.6048,2457.900429,644.070235,23.0741673,5.016123325,799.6615419,1064814.88,1049.503939,3187.567785,7676920,96181808,3.563324381,0,4900.752489,0,28460.48052,338.0867121,1064.42137,592027.9555,517.6639272,475971.9165,546.7574424
54:40.2,440808.5003,32957.64488,407850.8554,1573.051654,147.8507629,16.09260004,1.005787502,806.2378623,1357096.34,416.218283,2671.657792,7675424,96177984,2.763299649,0,5764.168177,0,16113.72158,192.105413,402.315001,498194.712,186.070688,854916.3597,216.244313
54:41.2,53692.20095,0,53692.20095,2252.636285,71.59229018,20.1668423,1.008342115,789.2274863,746103.6421,106.6558052,2560.745512,7675560,96177984,0.560486093,0,1733.340096,0,20857.55665,235.9520549,106.8842642,384133.9788,53.4421321,363567.833,53.4421321
54:42.2,410844.1834,0,410844.1834,2843.436816,1007.029746,22.95508837,3.992189282,799.9702411,1186660.908,299.9903703,3016.903157,7675016,96169792,2.152069943,0,5491.256357,0,57807.89885,1002.03951,299.4141961,413243.4891,141.7227195,771138.268,157.6914766
